epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3154,2.13766,2.02611,1.80314,0.82439,0.77132,0.80787,0.39412,1.89468,1.25776,1.59399,1.97701e-05,1.97701e-05,0.0802497
2,38.0662,1.59354,1.20944,1.45239,0.91566,0.84161,0.92471,0.50533,1.47821,0.94208,1.34329,3.97604e-05,3.97604e-05,0.0602696
3,55.1622,1.47259,1.05329,1.36143,0.93583,0.87597,0.94801,0.53208,1.42565,0.82825,1.31055,5.97117e-05,5.97117e-05,0.0402896
4,71.8662,1.43673,1.01423,1.3363,0.95212,0.93411,0.96851,0.57397,1.36461,0.77866,1.27052,7.95949e-05,7.95949e-05,0.0203095
5,88.3357,1.37842,0.97032,1.30617,0.94406,0.93798,0.97866,0.57548,1.40545,0.76317,1.27033,9.93807e-05,9.93807e-05,0.000329266
6,104.583,1.33926,0.93541,1.29048,0.97197,0.95736,0.9819,0.59724,1.34034,0.76005,1.2461,9.93906e-05,9.93906e-05,9.93906e-05
7,120.853,1.32237,0.91315,1.25145,0.95703,0.94951,0.98296,0.61562,1.32999,0.70392,1.23728,9.91232e-05,9.91232e-05,9.91232e-05
8,137.284,1.27848,0.8967,1.2484,0.96665,0.96124,0.9784,0.60378,1.36052,0.74393,1.24751,9.88079e-05,9.88079e-05,9.88079e-05
9,153.429,1.26821,0.87456,1.2399,0.96882,0.96899,0.97719,0.60436,1.33689,0.70652,1.2335,9.84449e-05,9.84449e-05,9.84449e-05
10,169.41,1.24627,0.84616,1.22339,0.97478,0.96512,0.98777,0.64129,1.27093,0.68764,1.20946,9.80345e-05,9.80345e-05,9.80345e-05
11,185.743,1.24933,0.83909,1.22431,0.97612,0.96512,0.98641,0.64325,1.25041,0.67641,1.19589,9.75773e-05,9.75773e-05,9.75773e-05
12,202.35,1.22096,0.82183,1.20622,0.97267,0.96558,0.98765,0.63332,1.29271,0.66447,1.20913,9.70736e-05,9.70736e-05,9.70736e-05
13,218.37,1.24305,0.82064,1.23383,0.96176,0.97472,0.97975,0.64716,1.26093,0.68349,1.1999,9.65239e-05,9.65239e-05,9.65239e-05
14,234.597,1.2208,0.81211,1.20889,0.97679,0.96899,0.98881,0.64235,1.28426,0.64787,1.20281,9.59289e-05,9.59289e-05,9.59289e-05
